Wall time,Step,Value
1652800932.0932353,2346,-1.6396435499191284
1652800989.9902368,2356,-1.673751711845398
1652802446.205073,2641,-1.7193341255187988
1652802484.803706,2649,-1.7337615489959717
1652802545.760394,2660,-1.6976532936096191
1652802761.55135,2703,-1.8116455078125
1652803073.1166947,2764,-1.5922297239303589
1652803140.6857815,2777,-1.5764213800430298
1652803172.7991755,2783,-1.6018965244293213
1652803285.498898,2806,-1.6561803817749023
1652803513.727382,2853,-1.457571268081665
1652803812.646158,2910,-1.7902157306671143
1652803925.2524018,2933,-1.9258757829666138
1652803983.0447507,2947,-1.4453760385513306
1652804349.3426027,3021,-1.1207693815231323
1652804903.2376397,3125,-1.8019407987594604
1652804973.8481839,3139,-1.9066863059997559
1652805453.1106195,3232,-2.007946729660034
1652805626.8140626,3266,-1.8590868711471558
1652805700.8140864,3281,-1.8158704042434692
1652805800.3697643,3300,-1.7767702341079712
1652806096.3361156,3360,-1.6037050485610962
1652806283.1586344,3394,-1.7241718769073486
1652806347.5092182,3406,-1.703118085861206
1652806469.5393124,3432,-1.6833164691925049
1652806681.7277408,3474,-1.5427026748657227
1652806880.9488072,3516,-1.133132815361023
1652807228.338859,3584,-1.3366992473602295
1652807446.9456947,3628,-1.5379881858825684
1652807655.8856041,3669,-1.6480586528778076
1652807826.6889613,3706,-0.9294946789741516
1652808055.094485,3753,-1.0171836614608765
1652808122.633338,3766,-1.0502177476882935
1652808157.9485667,3773,-1.0531400442123413
1652808231.932401,3788,-1.7096970081329346
1652808293.138381,3799,-1.802242398262024
1652808325.2528012,3805,-1.8916425704956055
1652808524.5978205,3847,-1.8043431043624878
1652808560.131964,3854,-1.7496092319488525
1652808846.224014,3907,-1.6033562421798706
1652809048.641799,3946,-1.8551385402679443
1652809103.2372885,3955,-1.992507815361023
1652809260.6638815,3984,-2.0345966815948486
1652809431.0897496,4017,-2.017357587814331
1652809495.3752165,4029,-2.015319585800171
1652809948.9478047,4122,-1.3787506818771362
1652810200.0940192,4172,-0.7628119587898254
1652810235.5060384,4179,-1.02787184715271
1652810309.5096383,4194,-1.031570315361023
1652810370.5417833,4205,-1.138648509979248
1652810399.4564333,4210,-1.2134696245193481
1652810470.21605,4224,-1.3524937629699707
1652810908.216289,4312,-1.7102748155593872
1652811014.476135,4333,-1.7898720502853394
1652811155.8871872,4361,-1.8034865856170654
1652811255.510617,4380,-1.7853199243545532
1652811358.565665,4400,-1.8708833456039429
1652811487.143365,4424,-1.8880860805511475
1652811522.5427017,4431,-1.897642731666565
1652811664.0627508,4459,-1.8857544660568237
1652811844.0924256,4495,-1.7241613864898682
1652812214.1932323,4566,-1.423720359802246
1652812358.9295716,4595,-1.496413230895996
1652812458.6395023,4614,-1.9757368564605713
1652812744.9988945,4671,-1.516207218170166
1652812870.4052935,4694,-1.6280745267868042
1652812979.8293936,4716,-1.5319373607635498
1652813028.547466,4727,-1.2725666761398315
1652813060.8257554,4733,-1.2940471172332764
1652813301.7961202,4780,-1.602371096611023
1652813514.2940469,4822,-1.616862177848816
1652813601.4233642,4841,-1.692747950553894
1652813643.2475224,4850,-1.6384509801864624
1652813781.608597,4877,-1.5658689737319946
1652813942.5201027,4911,-1.4878684282302856
1652814067.9035678,4934,-1.5880048274993896
1652814109.675377,4943,-1.6548012495040894
1652814251.4521787,4971,-1.6247122287750244
1652814544.488526,5026,-1.762978196144104
1652814686.0763159,5054,-1.7966874837875366
1652814718.1691005,5060,-1.854123592376709
1652814750.4164233,5066,-1.8609836101531982
1652814824.174666,5081,-1.8313559293746948
1652814872.2586327,5092,-1.695807695388794
1652815097.6530364,5137,-1.4641211032867432
1652815232.7341309,5163,-1.3771816492080688
1652815271.3821585,5171,-1.2963263988494873
1652815345.4454556,5186,-1.3967069387435913
1652815409.5600133,5198,-1.5494892597198486
1652815518.9487476,5220,-1.5241153240203857
1652815554.3763509,5227,-1.608933448791504
1652815586.4630027,5233,-1.7319574356079102
1652815624.998592,5241,-1.7227483987808228
1652815734.2894573,5263,-1.6224361658096313
1652815889.4804509,5295,-1.3110594749450684
1652816053.7116883,5326,-1.32675039768219
1652816089.0752392,5333,-1.3388102054595947
1652816114.7940173,5337,-1.3488101959228516
1652816317.210382,5376,-1.550604224205017
1652816928.0667508,5498,-1.331497073173523
1652817079.327624,5529,-1.5008344650268555
1652817140.5096018,5540,-1.4649540185928345
1652817311.17935,5573,-1.8367482423782349
1652818178.1771011,5746,-1.6766692399978638
1652818242.535014,5758,-1.7819914817810059
1652818435.4496315,5798,-1.4841735363006592
1652818506.4212215,5812,-1.4689586162567139
1652818654.6742253,5842,-1.2452309131622314
1652818718.982206,5854,-1.1964744329452515
1652818991.882537,5907,-1.5362991094589233
1652819197.588097,5947,-1.8445978164672852
1652819345.435173,5977,-1.8046449422836304
1652819580.0844119,6022,-1.8997950553894043
1652819637.9430318,6032,-1.9457751512527466
1652819860.0454054,6077,-1.8055075407028198
1652819937.1145055,6093,-1.6908650398254395
1652820036.7002704,6112,-1.5917637348175049
1652820078.540816,6121,-1.4615892171859741
1652820155.533132,6137,-1.3135266304016113
1652820477.3040226,6205,-1.0290566682815552
1652820519.0572379,6214,-1.017808437347412
1652820625.0106552,6235,-1.051732063293457
1652820912.6102037,6296,-0.7368924617767334
1652821018.844837,6317,-1.1021045446395874
1652821369.256694,6390,-1.5104275941848755
1652821514.8710756,6419,-1.37919282913208
1652821637.077134,6445,-1.4009941816329956
1652821666.0578628,6450,-1.4761356115341187
1652822025.54063,6526,-1.4836481809616089
1652822060.8614824,6533,-1.4563493728637695
1652822195.8312588,6559,-1.4053376913070679
1652822231.1837425,6566,-1.382649302482605
1652822263.418374,6572,-1.4655276536941528
1652822305.2796385,6581,-1.5461418628692627
1652822456.2702389,6612,-1.4438608884811401
1652822485.2902048,6617,-1.4414540529251099
1652822620.1714063,6647,-0.9595043063163757
1652822652.3653214,6653,-0.9969606995582581
1652822948.5369153,6713,-1.060245156288147
1652823086.7441099,6740,-1.2517791986465454
1652823173.4205515,6759,-1.334701657295227
1652823240.8937526,6772,-1.33499014377594
1652823273.0903108,6778,-1.31290602684021
1652823607.5179212,6846,-1.352538824081421
1652823739.3780956,6875,-0.8340461850166321
1652824035.291964,6935,-1.084147572517395
1652824112.3901167,6951,-1.0610185861587524
1652824273.0683794,6985,-1.1718356609344482
1652824302.0729718,6990,-1.170709490776062
1652824502.239706,7032,-1.0839154720306396
1652824781.881837,7091,-1.018846869468689
1652825193.5574808,7175,-1.0553772449493408
1652825267.5614088,7190,-1.268221378326416
1652825518.4117699,7244,-0.9419679045677185
1652825640.8018806,7270,-0.8168840408325195
1652825714.7556236,7285,-0.7797340750694275
1652825850.5117822,7311,-1.4471467733383179
1652825998.733796,7341,-1.5304498672485352
1652826063.192893,7353,-1.8032453060150146
1652826243.5218773,7389,-1.7173826694488525
1652826275.5540376,7395,-1.711355447769165
1652826317.3199158,7404,-1.7256101369857788
1652826633.3915303,7470,-1.1544066667556763
1652826839.0655868,7510,-1.3498660326004028
1652826970.8845365,7535,-1.698459267616272
1652827009.387271,7543,-1.718591570854187
1652827041.6315062,7549,-1.963446855545044
1652827334.1743693,7604,-2.2617290019989014
1652827508.093846,7638,-2.1577773094177246
1652828026.0232239,7743,-1.4419257640838623
1652828093.667095,7756,-1.465719223022461
1652828871.646246,7918,-1.508603811264038
1652828900.52033,7923,-1.5247914791107178
1652829048.498814,7953,-1.4270774126052856
1652829080.6922638,7959,-1.4466140270233154
1652829112.858205,7965,-1.5200111865997314
1652829827.591698,8115,-0.8274138569831848
1652830001.3808322,8149,-1.110102891921997
1652830273.386019,8205,-1.5430678129196167
