Wall time,Step,Value
1653864000.9576943,7304,-2.4159607887268066
1653864080.3759544,7316,-2.4620108604431152
1653864295.9528177,7349,-2.476285219192505
1653864322.5203962,7353,-2.4862852096557617
1653864856.2696579,7434,-2.483185052871704
1653865099.1384451,7471,-2.5159831047058105
1653865265.714594,7497,-2.5380966663360596
1653865481.1505525,7530,-2.499427556991577
1653865726.963121,7568,-2.4357144832611084
1653865922.8928301,7599,-2.3230645656585693
1653866488.0108757,7685,-2.4611074924468994
1653866862.5738807,7742,-2.5230109691619873
1653866968.6202886,7758,-2.5230109691619873
1653867207.0634663,7794,-2.5130109786987305
1653867555.314017,7847,-2.5097639560699463
1653867638.1780446,7860,-2.512916326522827
1653867811.1686306,7888,-2.4949381351470947
1653867864.0464535,7896,-2.484938144683838
1653868935.162652,8058,-2.5727078914642334
1653869399.4618864,8130,-2.5212016105651855
1653869671.6672754,8172,-2.4801337718963623
1653869751.177205,8184,-2.510133981704712
1653870301.9455547,8270,-2.4910905361175537
1653870683.7313435,8329,-2.4702060222625732
1653870736.7966318,8337,-2.4602060317993164
1653871221.081966,8411,-2.486647129058838
1653871330.8041587,8428,-2.4470763206481934
1653871542.996976,8460,-2.383043050765991
1653872018.3078902,8535,-2.3098642826080322
1653872177.312319,8559,-2.389864444732666
1653872827.7822423,8659,-2.40732741355896
1653873183.7980719,8714,-2.488349437713623
1653873277.7658937,8730,-2.437023401260376
1653873304.3226597,8734,-2.4570233821868896
1653873516.4427207,8766,-2.542919635772705
1653873622.3038313,8782,-2.492919683456421
1653873807.763513,8810,-2.450751543045044
1653874215.7748299,8873,-2.4474852085113525
1653875138.6916502,9015,-2.3872485160827637
1653875251.4599388,9033,-2.3659260272979736
1653875440.587964,9062,-2.375580310821533
1653875689.6208355,9101,-2.48378849029541
1653876293.9882002,9195,-2.4255828857421875
1653876400.4416745,9211,-2.4355828762054443
1653876612.3763561,9243,-2.5331552028656006
1653876827.8774247,9276,-2.4928579330444336
1653876938.3094335,9293,-2.4656639099121094
1653877485.7838364,9378,-2.45721697807312
1653877618.4740982,9398,-2.4825046062469482
1653877648.1304157,9403,-2.4622719287872314
1653877701.2460897,9411,-2.4589996337890625
1653877780.7815003,9423,-2.4589996337890625
1653878115.8110723,9476,-2.391453504562378
1653878195.5521157,9488,-2.3714535236358643
1653878338.562524,9511,-2.41715931892395
1653878852.6104038,9590,-2.527845621109009
1653879121.1594307,9631,-2.472154378890991
1653879280.4285357,9655,-2.4689810276031494
1653879439.6137507,9679,-2.4761767387390137
1653879553.4116914,9697,-2.478830575942993
1653879881.9012294,9748,-2.443922519683838
1653880589.5926726,9857,-2.412998914718628
1653880827.9549942,9893,-2.450000047683716
1653881812.12088,10039,-2.4480717182159424
1653881838.6545606,10043,-2.4380717277526855
1653881891.9069266,10051,-2.4329395294189453
1653883114.0250978,10243,-2.4832565784454346
1653883340.271552,10279,-2.4909098148345947
1653883582.4281058,10316,-2.4708986282348633
1653883642.3205788,10326,-2.465261936187744
1653883774.842546,10346,-2.4991378784179688
1653884444.4973934,10448,-2.543968915939331
1653884470.9370458,10452,-2.559999942779541
1653884750.2328875,10496,-2.5214664936065674
1653884806.7821443,10505,-2.4945578575134277
1653884939.3037555,10525,-2.5045578479766846
1653885328.5038464,10586,-2.467604875564575
1653885494.403928,10612,-2.46077299118042
1653885739.6690307,10650,-2.4584238529205322
1653886147.6617815,10713,-2.516000747680664
1653886253.711163,10729,-2.5660006999969482
1653886306.6071284,10737,-2.5528862476348877
1653886992.2948003,10843,-2.4449727535247803
1653887586.1495538,10934,-2.4352869987487793
1653887752.9412146,10960,-2.418811559677124
1653888220.4753206,11033,-2.4710934162139893
1653888379.4378211,11057,-2.4786291122436523
1653889085.916082,11166,-2.5811727046966553
1653889709.4888108,11262,-2.459022045135498
1653889895.0190313,11290,-2.4361796379089355
1653890027.6502986,11310,-2.4161794185638428
1653890383.8810008,11365,-2.428727865219116
1653890569.4052317,11393,-2.4787278175354004
1653890966.7929726,11453,-2.5799999237060547
1653891288.4002416,11502,-2.5622851848602295
1653891378.1673985,11517,-2.54426908493042
1653891752.5186577,11574,-2.5150511264801025
1653892708.2214086,11722,-2.4828481674194336
1653892734.7366626,11726,-2.4797587394714355
1653892767.6104205,11732,-2.443927049636841
1653893672.0476463,11872,-2.4716906547546387
1653894964.9170632,12070,-2.5129055976867676
1653895207.0761874,12107,-2.5057663917541504
1653895448.8606012,12144,-2.536165475845337
1653895614.9049935,12170,-2.5441136360168457
1653896185.6144104,12258,-2.430480480194092
1653896265.108595,12270,-2.432532548904419
1653897556.5849621,12471,-2.378042697906494
1653897779.3000197,12506,-2.3764564990997314
1653898403.2320962,12602,-2.4479196071624756
1653898776.3841512,12662,-2.3791849613189697
1653899218.2108943,12731,-2.4562301635742188
1653899297.740278,12743,-2.4732890129089355
1653899516.6017652,12777,-2.5349936485290527
1653899599.5828087,12790,-2.4750430583953857
1653900263.4845486,12894,-2.4712023735046387
1653900372.646281,12911,-2.454008102416992
1653901189.3168948,13037,-2.5901594161987305
1653901824.6119976,13136,-2.4169774055480957
1653902232.9984229,13199,-2.4653048515319824
1653902720.9788902,13274,-2.5702171325683594
1653902880.3704276,13298,-2.597231388092041
1653903332.1031659,13370,-2.589289426803589
1653903812.9411902,13443,-2.5186808109283447
1653903839.4102573,13447,-2.5462629795074463
1653904767.008414,13590,-2.4286975860595703
1653905032.485124,13630,-2.4719057083129883
1653905115.4573798,13643,-2.5418014526367188
1653905141.895683,13647,-2.559298515319824
1653905198.4010322,13656,-2.552283525466919
1653905224.8894074,13660,-2.549215793609619
1653905905.2907345,13765,-2.4545645713806152
1653906811.2671587,13906,-2.4284732341766357
1653907446.4434516,14005,-2.4167122840881348
1653907911.2729042,14077,-2.512030601501465
1653908769.2591465,14211,-2.462358236312866
1653909507.5175755,14325,-2.454514741897583
1653909643.4539208,14346,-2.4240610599517822
1653910240.4829304,14438,-2.5344057083129883
1653910778.9611254,14524,-2.312040328979492
1653910832.1371684,14532,-2.288804054260254
1653911021.1509776,14561,-2.3503410816192627
1653911183.8269403,14586,-2.3649375438690186
1653911625.6040466,14655,-2.4714787006378174
1653912128.1018765,14737,-2.1824402809143066
1653912457.5239477,14788,-2.2760815620422363
1653912537.0549347,14800,-2.313851833343506
1653913203.1139054,14901,-2.4930808544158936
1653913365.4895358,14926,-2.484856367111206
1653913916.5417929,15012,-2.4966001510620117
1653914381.3047576,15084,-2.503629207611084
1653914918.8031523,15166,-2.4892380237579346
1653915407.9517105,15241,-2.5071141719818115
1653915460.9981804,15249,-2.4971141815185547
1653915514.217655,15257,-2.4971141815185547
1653915677.0103538,15282,-2.5099568367004395
1653916141.8084679,15354,-2.452169895172119
1653916433.209486,15398,-2.4174580574035645
1653916807.97682,15455,-2.5130300521850586
1653918335.2599123,15691,-2.2762575149536133
1653918441.7510889,15707,-2.236257553100586
1653918657.1940038,15740,-2.338798761367798
1653918740.267484,15753,-2.3659255504608154
1653919592.6126516,15885,-2.44720721244812
1653919808.3188174,15918,-2.470452308654785
1653920157.3518288,15971,-2.455137014389038
1653920297.0650396,15993,-2.4512059688568115
1653920734.738486,16061,-2.3875322341918945
1653920870.775853,16082,-2.3475966453552246
1653920923.8912668,16090,-2.3444406986236572
1653921199.2565346,16133,-2.419532537460327
1653921308.8908477,16150,-2.4474804401397705
1653922078.5751505,16266,-2.569999933242798
1653922214.749982,16287,-2.5229310989379883
1653922403.749393,16316,-2.5159974098205566
1653923835.360033,16539,-2.5047240257263184
1653924021.4124455,16567,-2.4214165210723877
1653924127.4046297,16583,-2.411416530609131
1653924422.407491,16628,-2.4260029792785645
1653924584.9160333,16653,-2.5164899826049805
1653924747.6562498,16678,-2.5093343257904053
1653925335.1490374,16767,-2.451160192489624
1653925770.634175,16834,-2.459426164627075
1653926016.0748584,16872,-2.494093656539917
1653926045.7828426,16877,-2.494325637817383
1653926364.3976886,16925,-2.541348934173584
1653926666.8703506,16972,-2.521193504333496
1653926746.4002087,16984,-2.537980794906616
1653928314.2705712,17228,-2.5144195556640625
1653928450.3841288,17249,-2.5325422286987305
1653928476.9027524,17253,-2.5425422191619873
1653928742.1678708,17293,-2.5594663619995117
1653930726.5282702,17599,-2.468247175216675
1653931025.8569233,17645,-2.378214120864868
1653931055.8008163,17650,-2.3807907104492188
1653931108.8366976,17658,-2.3907907009124756
1653931161.9022756,17666,-2.4107906818389893
1653931241.48879,17678,-2.3877651691436768
1653931267.9887443,17682,-2.37776517868042
1653931954.55115,17789,-2.404306411743164
1653932087.631723,17809,-2.3943064212799072
1653932167.2248092,17821,-2.4179444313049316
1653932379.7394848,17853,-2.4463016986846924
1653932924.1344073,17937,-2.6721999645233154
1653933003.7232356,17949,-2.6521999835968018
1653933030.2567158,17953,-2.6621999740600586
1653933434.935926,18015,-2.569434404373169
1653933877.3265588,18084,-2.454535722732544
1653934036.525444,18108,-2.4245355129241943
1653934142.2975817,18124,-2.434535503387451
1653934384.1810112,18161,-2.4931840896606445
1653934437.0688746,18169,-2.4931840896606445
1653934781.7696538,18221,-2.533184051513672
1653935076.4624722,18266,-2.55324649810791
1653935779.2826703,18374,-2.5526680946350098
1653936018.1901853,18410,-2.472668170928955
1653936426.146661,18473,-2.479210138320923
1653936622.269956,18504,-2.5110151767730713
1653936784.3243499,18529,-2.511247396469116
1653936898.2537775,18547,-2.452759027481079
1653937439.7671676,18630,-2.4637317657470703
1653937519.3680496,18642,-2.501957654953003
1653938693.3246236,18826,-2.4541049003601074
1653939152.2925334,18896,-2.4556527137756348
1653939606.593149,18965,-2.49298095703125
1653939633.121474,18969,-2.482980966567993
1653940154.2338898,19050,-2.4074230194091797
1653940180.9449074,19054,-2.397423028945923
1653940260.381007,19066,-2.387423038482666
1653940502.3355205,19103,-2.447047710418701
1653940797.7264967,19148,-2.5395500659942627
1653941478.1048367,19253,-2.510146379470825
1653941567.977802,19268,-2.4969680309295654
1653941874.5578408,19316,-2.490032911300659
1653941954.214242,19328,-2.4800329208374023
1653942007.2209845,19336,-2.4700329303741455
1653942060.283585,19344,-2.4700329303741455
1653942832.8705785,19461,-2.5232481956481934
1653943592.8233154,19578,-2.4252960681915283
1653943808.5235107,19611,-2.411837100982666
1653943914.522495,19627,-2.421837091445923
1653944126.5460494,19659,-2.468627452850342
1653944426.5567517,19705,-2.45613431930542
1653945135.9969544,19815,-2.414310932159424
1653945268.40481,19835,-2.461148738861084
1653945709.669999,19904,-2.5016708374023438
1653946137.2839801,19969,-2.5561509132385254
1653946391.9963691,20003,-2.502033233642578
1653946642.2072434,20042,-2.4494125843048096
1653946890.7639272,20081,-2.411837577819824
1653947186.8076293,20126,-2.472013473510742
1653947213.3228223,20130,-2.496306896209717
1653947372.6103399,20154,-2.5362801551818848
1653947538.3549173,20180,-2.4482827186584473
1653947591.4093726,20188,-2.465287685394287
1653947674.4245322,20201,-2.4483094215393066
1653948616.5181038,20345,-2.4953525066375732
1653948938.1789446,20394,-2.5152535438537598
1653949452.4481626,20473,-2.455709934234619
1653950097.004594,20575,-2.3811678886413574
