Wall time,Step,Value
1652512927.5035698,500,-1.3428441286087036
1652515121.5306242,1000,9.34333324432373
1652517014.856155,1500,14.100431442260742
1652518908.1706922,2000,14.10530948638916
1652520811.5255058,2500,10.166163444519043
1652522702.870626,3000,22.569103240966797
1652524582.7593052,3500,16.961441040039062
1652526452.7205653,4000,13.475496292114258
1652528588.055991,4500,16.067914962768555
1652530481.0372705,5000,20.096704483032227
1652532345.8602545,5500,14.862632751464844
1652534206.353315,6000,18.812654495239258
1652536068.2793617,6500,20.287553787231445
1652537940.251272,7000,25.15945053100586
1652539833.5315607,7500,19.409011840820312
1652541716.885962,8000,15.392549514770508
1652543595.1457665,8500,17.017236709594727
1652545473.4319592,9000,21.920303344726562
1652547313.2690582,9500,19.9255428314209
1652549333.9119153,10000,15.617989540100098
1652551202.8000631,10500,22.31003189086914
1652553086.0268838,11000,20.195762634277344
1652554949.037187,11500,17.553905487060547
1652556811.134208,12000,17.41008186340332
1652558678.317375,12500,14.918187141418457
1652560553.907119,13000,12.32982349395752
1652562425.2992334,13500,12.898091316223145
1652564288.7627053,14000,16.56882095336914
1652566135.5994303,14500,20.72075843811035
1652567994.1107905,15000,22.639667510986328
1652569843.5798469,15500,16.02143096923828
1652571689.4749472,16000,24.671756744384766
1652573556.7834473,16500,27.271711349487305
1652575374.2781503,17000,38.49925994873047
1652577214.3981526,17500,22.091875076293945
1652579054.3593554,18000,23.181934356689453
1652580880.2332234,18500,25.994089126586914
1652582725.8403397,19000,26.592437744140625
1652584562.6338925,19500,26.27577018737793
1652586565.6657617,20000,27.713699340820312
1652588399.3711514,20500,29.218990325927734
1652590239.1668813,21000,12.194563865661621
1652592069.0373957,21500,24.890108108520508
1652593952.7460344,22000,18.84166717529297
1652595765.9334965,22500,28.19155502319336
1652597568.3632193,23000,25.104402542114258
1652599391.464829,23500,30.044620513916016
1652601218.2685726,24000,33.751930236816406
1652603064.578989,24500,13.422863006591797
1652604859.7474024,25000,35.37019348144531
1652606664.5977364,25500,34.28646469116211
1652608501.851567,26000,37.80098342895508
1652610285.057166,26500,36.22748565673828
1652612107.221557,27000,31.975671768188477
1652613943.6889563,27500,40.43077087402344
1652615808.2201805,28000,37.640846252441406
1652617593.57595,28500,49.04172897338867
1652619374.2559214,29000,46.26683807373047
1652621169.0237565,29500,31.787748336791992
1652623129.7006876,30000,43.476444244384766
1652624906.3546848,30500,42.32267379760742
1652626687.278875,31000,58.51631164550781
1652628588.5400033,31500,27.772144317626953
1652630432.9978006,32000,21.963781356811523
1652632251.6079137,32500,48.54969787597656
1652634031.5315607,33000,33.343753814697266
1652635889.9520159,33500,51.09999465942383
1652637664.731724,34000,45.396209716796875
1652639447.4089222,34500,45.99574661254883
1652641254.7333481,35000,8.469019889831543
1652643116.0238388,35500,35.23583221435547
1652644890.3751976,36000,44.75762939453125
1652646703.472107,36500,37.728721618652344
1652648493.691974,37000,47.89872741699219
1652650250.0429912,37500,49.1771125793457
1652652092.2536361,38000,43.264122009277344
1652653890.2602334,38500,39.75337600708008
1652655668.0013654,39000,46.905033111572266
1652657436.1030073,39500,42.71852493286133
1652659410.9896836,40000,55.7771110534668
1652661175.4527028,40500,48.90462875366211
1652662979.5277042,41000,51.246761322021484
1652664967.7186213,41500,-0.8075193166732788
1652667027.3462517,42000,51.97895431518555
1652668849.8960533,42500,27.478090286254883
1652670657.8447804,43000,52.02383804321289
1652672467.1845827,43500,48.33428192138672
1652674241.6708784,44000,48.673927307128906
1652676013.695047,44500,54.211483001708984
1652677788.4682765,45000,55.54301452636719
1652679585.418921,45500,53.915409088134766
1652681349.2537692,46000,39.441864013671875
